column,count,mean,min,max
id.orig_p,325309946,36687.667134,0.0,65535.0
id.resp_p,325309946,19234.043358,0.0,65535.0
missed_bytes,325309946,12.470471,0.0,1908819480.0
orig_pkts,325309946,2.269855,0.0,66027354.0
orig_ip_bytes,325309946,95.468827,0.0,1914793266.0
resp_pkts,325309946,0.002424,0.0,239484.0
resp_ip_bytes,325309946,1.335674,0.0,349618679.0
duration,89732261,0.592122,1e-06,93280.030966
orig_bytes,89732261,23865201.433274,0.0,66205578295.0
resp_bytes,89732261,388.112501,0.0,31720511878.0
